Key,Value
DragonlingAbilities,"Resistance to Magic|Immunity to Paralysis, Poison, and Disease|Regenerates Health in Darkness|Adrenaline Rush|Bonus to Hit Humanoids|Low Tolerance to Frost|Takes Damage from Holy Places"
DreughSummary,"Dreughs are abominations resembling a human-octopus hybrid with powerful crab claws. They are only found underwater."
DreughAdvice,"Melee attacks."
DreughAbilities,"Resistance to Magic|Immunity to Paralysis, Poison, and Disease|Regenerates Health in Darkness and in Water|Adrenaline Rush|Bonus to Hit Humanoids|Low Tolerance to Frost|Takes Damage from Holy Places"
FireAtronachSummary,"Fire Atronachs are golems constructed of flames and possess a fire-based damage aura."
FireAtronachAdvice,"Melee attacks are recommended. Lower level characters who wish to avoid melee may use cold-based spells."
FireAtronachAbilities,"Healed by fire-based spells|Immunity to Paralysis, Poison, Fire and Disease|Regenerates Health in Darkness|Adrenaline Rush|Bonus to Hit Humanoids|Low Tolerance to Frost|Takes Damage from Holy Places"
FireDaedraSummary,"Fire Daedra are flame-clad horrors from Oblivion. In addition to their burning swords, these creatures can cast fire-based spells from afar."
FireDaedraAdvice,"Close in quickly and use melee attacks to deny the Fire Daedra an opportunity to cast its ranged spells. You may also wish to protect yourself with Spell Reflection, Spell Resistance, or Spell Absorption, or attack with cold-based offensive spells."
FireDaedraAbilities,"Can detect camouflaged or invisible foes"
FleshAtronachSummary,"Flesh Atronachs are golems made of stitched-together cadavers and possess a poison-based damage aura."
FleshAtronachAdvice,"Melee attacks are recommended. Lower level characters who wish to avoid melee may use electricity-based spells."
FleshAtronachAbilities,"Healed by poison-based spells|Immunity to Paralysis, Poison and Disease|Regenerates Health in Darkness|Adrenaline Rush|Bonus to Hit Humanoids|Takes Damage from Holy Places"
GargoyleSummary,"Gargoyles are creatures of living stone."
GargoyleAdvice,"Melee attacks."
GargoyleAbilities,"Resistance to Magic"
GhostSummary,"Ghosts are the angry spirits of the dead."
GhostAdvice,"At lower levels, ghosts are best attacked from a distance, or in melee while protected by Spell Reflection, Spell Resistance, or Spell Absorption. Higher level characters can easily destroy a ghost with melee attacks."
GiantSummary,"Giants are huge, territorial brutes that like to smash (and eat) their enemies."
GiantAdvice,"Melee attacks are the quickest."
GiantBatSummary,"The giant bat is a flying animal commonly encountered at low levels, but not so often at higher levels."
GiantBatAdvice,"Melee attacks can quickly dispatch these beasts, though attacking with arrows or spells will greatly reduce your odds of catching a disease."
GiantBatAbilities,"There is a 5% chance per hit of catching a disease from a giant bat."
GrizzlyBearSummary,"The grizzly bear is a large animal that fights with teeth and claws."
GrizzlyBearAdvice,"Melee attacks."
HarpySummary,"Harpies are humanoid-bird creatures with taloned feet."
HarpyAdvice,"Melee attacks are recommended."
IceAtronachSummary,"Ice Atronachs are golems constructed of ice shards and possess a cold-based damage aura. Unlike other atronachs, they may also be encountered underwater."
IceAtronachAdvice,"Melee attacks are recommended. Lower level characters who wish to avoid melee may use fire-based spells."
IceAtronachAbilities,"Healed by cold-based spells|Immunity to Paralysis, Poison, Frost and Disease|Regenerates Health in Darkness|Adrenaline Rush|Bonus to Hit Humanoids|Low Tolerance to Magic|Takes Damage from Holy Places"
FrostDaedraSummary,"Frost Daedra are wreathed in the cold mists of Oblivion. Not only do their warhammers pack a devastating punch, but Frost Daedra can cast cold-based spells."
FrostDaedraAdvice,"Close in quickly and use melee attacks to deny the Frost Daedra an opportunity to cast its ranged spells. You may also wish to protect yourself with Spell Reflection, Spell Resistance, or Spell Absorption, or attack with fire-based offensive spells."
FrostDaedraAbilities,"Can detect camouflaged or invisible foes"
ImpSummary,"Imps are flying creatures that cast spells at their foes."
ImpAdvice,"Kill imps as quickly as possible, especially at low levels. Spell Reflection, Spell Resistance, or Spell Absorption are helpful."
ImpAbilities,"Can detect camouflaged or invisible foes"
IronAtronachSummary,"Iron Atronachs are powerful metal golems that possess an electricity-based damage aura."
IronAtronachAdvice,"Melee attacks are recommended. Lower level characters who wish to avoid melee may use poison-based spells."
IronAtronachAbilities,"Healed by electricity-based spells|Immunity to Paralysis, Poison, Shock and Disease|Regenerates Health in Darkness|Adrenaline Rush|Bonus to Hit Humanoids|Low Tolerance to Magic|Takes Damage from Holy Places"
LamiaSummary,"Lamias are monsters with the upper body of a human and a snakelike lower section. They are only encountered underwater."
LamiaAdvice,"Use ranged weapons to avoid the lamia's fatigue drain."
LamiaAbilities,"Lamias drain 2 points of fatigue for every 1 point of health damage|Resistance to Magic|Immunity to Paralysis, Poison, and Disease|Regenerates Health in Darkness and in Water|Adrenaline Rush|Bonus to Hit Humanoids|Low Tolerance to Frost|Takes Damage from Holy Places"
LichSummary,"Liches were powerful mages in life and achieved undeath of their own accord. They have retained their intellect - including their spellcasting abilities - while becoming much more physically powerful at the same time. As such, a lich is a dangerous adversary for even the most seasoned adventurers—provided they don't first annihilate themselves with their own magic, which they frequently do."
LichAdvice,"The use of Spell Reflection, Spell Resistance, or Spell Absorption is a definite must; a lich can easily kill you if you aren't prepared. Your safest bets are to attack with ranged weapons or have plenty of healing potions and spells on hand. Liches will sometimes use area effect damage spells at too close a range and harm or even destroy themselves."
LichAbilities,"Can detect camouflaged or invisible foes"
MummySummary,"Mummies are preserved corpses given new life. They pack a powerful punch, and their nature makes them vectors for disease."
MummyAdvice,"Mummies are best attacked with ranged weapons to avoid the chance of contracting a disease."
MummyAbilities,"There is a 5% chance per hit of contracting a disease from a mummy|Immunity to Disease"
NymphSummary,"Nymphs are fae creatures of unearthly beauty that attack with mystical energy."
NymphAdvice,"Nymphs can be easily dispatched with a melee attack."
NymphAbilities,"Nymphs drain 2 points of fatigue for every 1 point of health damage|Resistance to Paralysis and Poison"
OrcSummary,"Orcs are the basic foot soldiers of the Orcish race."
OrcAdvice,"Melee attacks."
OrcAbilities,"Resistance to Disease|Athleticism|Rapid Healing in Darkness"
OrcSergeantSummary,"Orc Sergeants are Orcish fighters who are more powerful and well-equipped than normal Orcs. Orc Sergeants can be distinguished from their lesser brethren by their double-bladed axes, boots, and heavier armor."
OrcSergeantAdvice,"Melee attacks."
OrcShamanSummary,"Orc Shamans are the spellcasters of Orsinium. They attack with powerful destruction spells, and make frequent use of their Invisibility spells in combat."
OrcShamanAdvice,"Use ranged attacks to avoid the damaging spell effects encountered in melee. The use of Spell Reflection, Spell Resistance, or Spell Absorption is advised."
OrcWarlordSummary,"Orc Warlords are elite warriors, by far the strongest and most dangerous members of the Orcish hordes. They appear similar to Orc Sergeants, with the addition of a tassel on their helms, capes, and gold bracers."
OrcWarlordAdvice,"Use ranged attacks at lower levels, melee attacks at higher levels."
RatSummary,"The rat is a small animal that attacks by biting. Rats can be hit by weapons of any material."
RatAdvice,"Higher level characters can quickly dispatch rats with a single melee attack, but low level characters may wish to use ranged weapons to avoid disease."
RatAbilities,"There is a 5% chance per hit of catching a disease from a rat|Rats are immune to poison and disease"
SabertoothTigerSummary,"The sabertooth tiger is a large, fanged animal."
SabertoothTigerAdvice,"Melee attacks."
GiantScorpionSummary,"The giant scorpion is a large arachnid that attacks with claws and stinger and has the ability to paralyze its foes."
GiantScorpionAdvice,"If you lack immunity to paralysis, ranged attacks are safer, especially at lower levels. Giant scorpions are quickly dispatched at higher levels with melee attacks."
GiantScorpionAbilities,"Paralyzing attacks"
SkeletalWarriorSummary,"While they may appear fragile, Skeletal Warriors are tough, skilled fighters. Lacking flesh, these creatures take less damage from edged weapons."
SkeletalWarriorAdvice,"Skeletal Warriors are not much of a challenge for higher level characters. However, lower level characters should attack with blunt weapons to avoid the creature's damage reduction."
SkeletalWarriorAbilities,"Can detect camouflaged or invisible foes|There is a 2% chance of contracting a disease from a skeletal warrior|Takes normal damage from blunt weapons, and half damage from all the others|Tales double damage from silver weapons"
SlaughterfishSummary,"A slaughterfish is a predatory, eel-like fish that dwells in underwater areas and attacks prey with its gaping maw."
SlaughterfishAdvice,"Melee attacks."
SpiderSummary,"The spider is a large arachnid that can paralyze its victims."
SpiderAdvice,"If you lack immunity to paralysis, ranged attacks are preferable, especially at low levels. Spiders are quickly dispatched at higher levels with melee attacks."
SpiderAbilities,"Paralyzing attacks"
SprigganSummary,"Spriggans are plant-like monsters."
SprigganAdvice,"Melee attacks work best."
SprigganAbilities,"Due to their nature, spriggans are almost impossible to hit with arrows."
VampireSummary,"Cruel, cunning, and immortal predators, vampires hunt the night, sometimes singly, sometimes in packs. Their powers and strength are certainly the stuff of legends, as is their ability to pass the curse of undeath onto unwitting victims."
VampireAdvice,"Spell Reflection, Spell Resistance, or Spell Absorption are recommended when fighting a vampire. Use ranged weapons if you want to avoid the chance of contracting a disease or vampirism. It is best to avoid direct melee attacks at lower levels."
VampireAbilities,"Can detect camouflaged or invisible foes|There is a 2% chance per hit of contracting a disease from a vampire|There is a 0.6% chance per hit of being infected with vampirism|Immunity to Poison and Disease|Bonus to Hit Humanoids|Takes Damage from Sunlight and Holy Places"
VampireAncientSummary,"The Vampire Ancient (sometimes styled as Ancient Vampire) is possibly the most dangerous foe one will encounter. Unlike Ancient Liches and Daedra Lords, they appear very frequently at higher levels and have no ranged spells - therefore, they can't blast themselves into Oblivion with their own attacks."
VampireAncientAdvice,"Spell Reflection is a life saver, but Shock or Spell Resistance are of great use. Having healing spells at the ready is also recommended, provided you have the chance to use them. Ranged weapons are almost useless, since Vampire Ancients are very fast and can be within melee range before you have reloaded your weapon. Spell Absorption is little help, unless you have a lot of empty Magicka which can be restored by the Ancient's Shock spells, and these attacks are quite powerful. Characters with a capacity of at most 50 Magicka will probably not be able to absorb even a single Shock spell before it causes damage. On the other hand, if you have a powerful Spell Reflection spell, the Vampire Ancient will kill itself easily with its own Shock attacks. And although they are immune to paralysis, they can be paralyzed if their own spells are reflected back at them."
VampireAncientAbilities,"Can detect camouflaged or invisible foes|There is a 2% chance per hit of contracting a disease from a Vampire Ancient|There is a 0.6% chance per hit of being infected with Vampirism|Immunity to Paralysis, Poison, and Disease|Adrenaline Rush|Regenerates Health in darkness|Takes Damage in Holy Places|Bonus to hit Humanoids"
WereboarSummary,"Wereboars are half-man, half-boar lycanthropes, whose attacks have a slight chance of passing their curse onto you."
WereboarAdvice,"If you don't wish to become a wereboar yourself, ranged attacks are safer at lower levels. Higher levels can quickly dispatch a wereboar with melee attacks."
WereboarAbilities,"There is a 0.6% chance of contracting lycanthropy from the attack|Adrenaline Rush"
WerewolfSummary,"Werewolves are half-man, half-wolf lycanthropes, whose attacks have a slight chance of passing their curse onto you."
WerewolfAdvice,"If you don't wish to become a werewolf yourself, ranged attacks are safer at lower levels. Higher levels can quickly dispatch a werewolf with melee attacks."
WerewolfAbilities,"There is a 0.6% chance of contracting lycanthropy from the attack|Adrenaline Rush"
WraithSummary,"Like ghosts, wraiths are the spirits of the dead, but are much more powerful than their counterparts - both in melee and with magic."
WraithAdvice,"Wraiths can do massive melee damage so the use of ranged attacks is recommended, except at higher levels where they can be easily killed with melee attacks."
WraithAbilities,"Can detect camouflaged or invisible foes|Resistance to Magic"
ZombieSummary,"Zombies are animated, rotting corpses. They can deliver a powerful blow, and their decaying flesh harbors festering diseases."
ZombieAdvice,"At lower levels, use ranged weapons to avoid the zombie's attacks and chance of disease. At higher levels, zombies can be easily destroyed with melee attacks."
ZombieAbilities,"There is a 2% chance per hit of contracting a disease from a zombie"
